image_id,image_path,articleType,class_id,split
58183,/content/product_visual_search/data/raw/images/58183.jpg,Handbags,44,train
29742,/content/product_visual_search/data/raw/images/29742.jpg,Handbags,44,train
51658,/content/product_visual_search/data/raw/images/51658.jpg,Watches,129,val
3954,/content/product_visual_search/data/raw/images/3954.jpg,Tshirts,123,train
18839,/content/product_visual_search/data/raw/images/18839.jpg,Belts,7,train
2886,/content/product_visual_search/data/raw/images/2886.jpg,Flats,35,train
23278,/content/product_visual_search/data/raw/images/23278.jpg,Watches,129,train
28690,/content/product_visual_search/data/raw/images/28690.jpg,Kurtas,57,train
8580,/content/product_visual_search/data/raw/images/8580.jpg,Waistcoat,127,val
3168,/content/product_visual_search/data/raw/images/3168.jpg,Sports Shoes,103,val
18005,/content/product_visual_search/data/raw/images/18005.jpg,Shorts,98,val
17871,/content/product_visual_search/data/raw/images/17871.jpg,Briefs,14,train
9452,/content/product_visual_search/data/raw/images/9452.jpg,Shirts,96,train
38402,/content/product_visual_search/data/raw/images/38402.jpg,Belts,7,val
44984,/content/product_visual_search/data/raw/images/44984.jpg,Watches,129,val
10268,/content/product_visual_search/data/raw/images/10268.jpg,Formal Shoes,38,train
45856,/content/product_visual_search/data/raw/images/45856.jpg,Kurtas,57,test
32138,/content/product_visual_search/data/raw/images/32138.jpg,Briefs,14,train
59435,/content/product_visual_search/data/raw/images/59435.jpg,Formal Shoes,38,train
5891,/content/product_visual_search/data/raw/images/5891.jpg,Tshirts,123,train
38630,/content/product_visual_search/data/raw/images/38630.jpg,Tshirts,123,test
4943,/content/product_visual_search/data/raw/images/4943.jpg,Shirts,96,train
11188,/content/product_visual_search/data/raw/images/11188.jpg,Watches,129,train
10866,/content/product_visual_search/data/raw/images/10866.jpg,Tshirts,123,train
59607,/content/product_visual_search/data/raw/images/59607.jpg,Sarees,93,train
15528,/content/product_visual_search/data/raw/images/15528.jpg,Tshirts,123,train
45258,/content/product_visual_search/data/raw/images/45258.jpg,Watches,129,train
42841,/content/product_visual_search/data/raw/images/42841.jpg,Handbags,44,train
22198,/content/product_visual_search/data/raw/images/22198.jpg,Casual Shoes,18,test
29570,/content/product_visual_search/data/raw/images/29570.jpg,Casual Shoes,18,train
43993,/content/product_visual_search/data/raw/images/43993.jpg,Perfume and Body Mist,84,val
6628,/content/product_visual_search/data/raw/images/6628.jpg,Sports Shoes,103,train
54924,/content/product_visual_search/data/raw/images/54924.jpg,Shorts,98,train
26538,/content/product_visual_search/data/raw/images/26538.jpg,Casual Shoes,18,test
35913,/content/product_visual_search/data/raw/images/35913.jpg,Handbags,44,train
49495,/content/product_visual_search/data/raw/images/49495.jpg,Casual Shoes,18,train
9660,/content/product_visual_search/data/raw/images/9660.jpg,Shirts,96,train
2288,/content/product_visual_search/data/raw/images/2288.jpg,Tshirts,123,train
23876,/content/product_visual_search/data/raw/images/23876.jpg,Sweatshirts,110,train
18237,/content/product_visual_search/data/raw/images/18237.jpg,Tshirts,123,train
54118,/content/product_visual_search/data/raw/images/54118.jpg,Heels,47,val
2872,/content/product_visual_search/data/raw/images/2872.jpg,Heels,47,train
49653,/content/product_visual_search/data/raw/images/49653.jpg,Tops,116,val
8574,/content/product_visual_search/data/raw/images/8574.jpg,Sandals,92,test
16957,/content/product_visual_search/data/raw/images/16957.jpg,Sunglasses,106,train
19123,/content/product_visual_search/data/raw/images/19123.jpg,Flip Flops,36,train
13419,/content/product_visual_search/data/raw/images/13419.jpg,Tshirts,123,train
17885,/content/product_visual_search/data/raw/images/17885.jpg,Innerwear Vests,49,test
43369,/content/product_visual_search/data/raw/images/43369.jpg,Flip Flops,36,train
48781,/content/product_visual_search/data/raw/images/48781.jpg,Pendant,83,val
44970,/content/product_visual_search/data/raw/images/44970.jpg,Watches,129,train
56489,/content/product_visual_search/data/raw/images/56489.jpg,Nail Polish,77,train
39524,/content/product_visual_search/data/raw/images/39524.jpg,Laptop Bag,59,train
33822,/content/product_visual_search/data/raw/images/33822.jpg,Sports Shoes,103,train
58513,/content/product_visual_search/data/raw/images/58513.jpg,Tops,116,train
25947,/content/product_visual_search/data/raw/images/25947.jpg,Scarves,94,train
52029,/content/product_visual_search/data/raw/images/52029.jpg,Rain Jacket,85,test
5865,/content/product_visual_search/data/raw/images/5865.jpg,Tshirts,123,train
39716,/content/product_visual_search/data/raw/images/39716.jpg,Dresses,26,train
25349,/content/product_visual_search/data/raw/images/25349.jpg,Briefs,14,train
11940,/content/product_visual_search/data/raw/images/11940.jpg,Sandals,92,val
55802,/content/product_visual_search/data/raw/images/55802.jpg,Night suits,80,val
29584,/content/product_visual_search/data/raw/images/29584.jpg,Tshirts,123,val
43967,/content/product_visual_search/data/raw/images/43967.jpg,Perfume and Body Mist,84,val
28456,/content/product_visual_search/data/raw/images/28456.jpg,Skirts,100,train
34009,/content/product_visual_search/data/raw/images/34009.jpg,Tops,116,train
19311,/content/product_visual_search/data/raw/images/19311.jpg,Casual Shoes,18,train
42089,/content/product_visual_search/data/raw/images/42089.jpg,Sports Shoes,103,train
22950,/content/product_visual_search/data/raw/images/22950.jpg,Watches,129,train
49461,/content/product_visual_search/data/raw/images/49461.jpg,Casual Shoes,18,train
8746,/content/product_visual_search/data/raw/images/8746.jpg,Flip Flops,36,train
9694,/content/product_visual_search/data/raw/images/9694.jpg,Tshirts,123,train
23882,/content/product_visual_search/data/raw/images/23882.jpg,Sports Shoes,103,train
34835,/content/product_visual_search/data/raw/images/34835.jpg,Sports Shoes,103,val
15984,/content/product_visual_search/data/raw/images/15984.jpg,Shirts,96,train
41268,/content/product_visual_search/data/raw/images/41268.jpg,Wallets,128,train
11518,/content/product_visual_search/data/raw/images/11518.jpg,Heels,47,val
14856,/content/product_visual_search/data/raw/images/14856.jpg,Wallets,128,train
33648,/content/product_visual_search/data/raw/images/33648.jpg,Sandals,92,val
59297,/content/product_visual_search/data/raw/images/59297.jpg,Shirts,96,train
28032,/content/product_visual_search/data/raw/images/28032.jpg,Briefs,14,train
27846,/content/product_visual_search/data/raw/images/27846.jpg,Blazers,8,train
26994,/content/product_visual_search/data/raw/images/26994.jpg,Jeans,51,train
49839,/content/product_visual_search/data/raw/images/49839.jpg,Flip Flops,36,val
31923,/content/product_visual_search/data/raw/images/31923.jpg,Handbags,44,train
2618,/content/product_visual_search/data/raw/images/2618.jpg,Flats,35,val
54588,/content/product_visual_search/data/raw/images/54588.jpg,Kurtas,57,test
49005,/content/product_visual_search/data/raw/images/49005.jpg,Ring,86,train
8322,/content/product_visual_search/data/raw/images/8322.jpg,Tshirts,123,train
13841,/content/product_visual_search/data/raw/images/13841.jpg,Watches,129,train
28200,/content/product_visual_search/data/raw/images/28200.jpg,Sunglasses,106,val
12993,/content/product_visual_search/data/raw/images/12993.jpg,Sports Shoes,103,train
7158,/content/product_visual_search/data/raw/images/7158.jpg,Shirts,96,val
18495,/content/product_visual_search/data/raw/images/18495.jpg,Sandals,92,train
8110,/content/product_visual_search/data/raw/images/8110.jpg,Watches,129,train
19547,/content/product_visual_search/data/raw/images/19547.jpg,Sweatshirts,110,train
7964,/content/product_visual_search/data/raw/images/7964.jpg,Tshirts,123,train
36934,/content/product_visual_search/data/raw/images/36934.jpg,Perfume and Body Mist,84,test
39140,/content/product_visual_search/data/raw/images/39140.jpg,Kurta Sets,56,train
20851,/content/product_visual_search/data/raw/images/20851.jpg,Clutches,21,train
41866,/content/product_visual_search/data/raw/images/41866.jpg,Sandals,92,train
58177,/content/product_visual_search/data/raw/images/58177.jpg,Handbags,44,val
44528,/content/product_visual_search/data/raw/images/44528.jpg,Sandals,92,train
16392,/content/product_visual_search/data/raw/images/16392.jpg,Shirts,96,train
51455,/content/product_visual_search/data/raw/images/51455.jpg,Shrug,99,test
50587,/content/product_visual_search/data/raw/images/50587.jpg,Briefs,14,test
17240,/content/product_visual_search/data/raw/images/17240.jpg,Tshirts,123,train
47530,/content/product_visual_search/data/raw/images/47530.jpg,Flats,35,val
6617,/content/product_visual_search/data/raw/images/6617.jpg,Shirts,96,train
12732,/content/product_visual_search/data/raw/images/12732.jpg,Backpacks,2,train
3365,/content/product_visual_search/data/raw/images/3365.jpg,Tshirts,123,train
42042,/content/product_visual_search/data/raw/images/42042.jpg,Sports Shoes,103,train
23849,/content/product_visual_search/data/raw/images/23849.jpg,Casual Shoes,18,train
43190,/content/product_visual_search/data/raw/images/43190.jpg,Watches,129,train
48578,/content/product_visual_search/data/raw/images/48578.jpg,Bracelet,13,train
30462,/content/product_visual_search/data/raw/images/30462.jpg,Bra,12,train
18208,/content/product_visual_search/data/raw/images/18208.jpg,Caps,17,train
54127,/content/product_visual_search/data/raw/images/54127.jpg,Heels,47,train
10065,/content/product_visual_search/data/raw/images/10065.jpg,Tshirts,123,test
24250,/content/product_visual_search/data/raw/images/24250.jpg,Casual Shoes,18,val
32335,/content/product_visual_search/data/raw/images/32335.jpg,Watches,129,test
25382,/content/product_visual_search/data/raw/images/25382.jpg,Innerwear Vests,49,test
56670,/content/product_visual_search/data/raw/images/56670.jpg,Watches,129,train
5092,/content/product_visual_search/data/raw/images/5092.jpg,Tshirts,123,train
10859,/content/product_visual_search/data/raw/images/10859.jpg,Tshirts,123,train
59638,/content/product_visual_search/data/raw/images/59638.jpg,Sarees,93,test
15517,/content/product_visual_search/data/raw/images/15517.jpg,Casual Shoes,18,train
4140,/content/product_visual_search/data/raw/images/4140.jpg,Casual Shoes,18,train
36795,/content/product_visual_search/data/raw/images/36795.jpg,Watches,129,test
40527,/content/product_visual_search/data/raw/images/40527.jpg,Watches,129,val
10257,/content/product_visual_search/data/raw/images/10257.jpg,Trousers,121,train
24062,/content/product_visual_search/data/raw/images/24062.jpg,Tshirts,123,val
45869,/content/product_visual_search/data/raw/images/45869.jpg,Watches,129,train
11385,/content/product_visual_search/data/raw/images/11385.jpg,Sweatshirts,110,train
53130,/content/product_visual_search/data/raw/images/53130.jpg,Flats,35,train
44187,/content/product_visual_search/data/raw/images/44187.jpg,Perfume and Body Mist,84,train
21510,/content/product_visual_search/data/raw/images/21510.jpg,Handbags,44,test
51667,/content/product_visual_search/data/raw/images/51667.jpg,Sunglasses,106,train
22395,/content/product_visual_search/data/raw/images/22395.jpg,Shirts,96,train
35322,/content/product_visual_search/data/raw/images/35322.jpg,Earrings,29,test
6425,/content/product_visual_search/data/raw/images/6425.jpg,Casual Shoes,18,train
18806,/content/product_visual_search/data/raw/images/18806.jpg,Belts,7,train
23247,/content/product_visual_search/data/raw/images/23247.jpg,Formal Shoes,38,train
17072,/content/product_visual_search/data/raw/images/17072.jpg,Belts,7,train
31782,/content/product_visual_search/data/raw/images/31782.jpg,Tops,116,val
42270,/content/product_visual_search/data/raw/images/42270.jpg,Casual Shoes,18,train
12500,/content/product_visual_search/data/raw/images/12500.jpg,Shirts,96,train
26735,/content/product_visual_search/data/raw/images/26735.jpg,Deodorant,25,train
30650,/content/product_visual_search/data/raw/images/30650.jpg,Tshirts,123,test
56026,/content/product_visual_search/data/raw/images/56026.jpg,Lipstick,66,train
21948,/content/product_visual_search/data/raw/images/21948.jpg,Handbags,44,train
32563,/content/product_visual_search/data/raw/images/32563.jpg,Trousers,121,train
58980,/content/product_visual_search/data/raw/images/58980.jpg,Deodorant,25,train
40143,/content/product_visual_search/data/raw/images/40143.jpg,Tops,116,val
10633,/content/product_visual_search/data/raw/images/10633.jpg,Formal Shoes,38,test
24406,/content/product_visual_search/data/raw/images/24406.jpg,Kurtas,57,train
4716,/content/product_visual_search/data/raw/images/4716.jpg,Watches,129,val
21174,/content/product_visual_search/data/raw/images/21174.jpg,Tops,116,train
15341,/content/product_visual_search/data/raw/images/15341.jpg,Shorts,98,val
52486,/content/product_visual_search/data/raw/images/52486.jpg,Camisoles,15,train
53554,/content/product_visual_search/data/raw/images/53554.jpg,Boxers,11,test
14293,/content/product_visual_search/data/raw/images/14293.jpg,Tshirts,123,train
47366,/content/product_visual_search/data/raw/images/47366.jpg,Handbags,44,val
6041,/content/product_visual_search/data/raw/images/6041.jpg,Tshirts,123,train
23623,/content/product_visual_search/data/raw/images/23623.jpg,Tops,116,train
17416,/content/product_visual_search/data/raw/images/17416.jpg,Sports Shoes,103,val
9835,/content/product_visual_search/data/raw/images/9835.jpg,Tshirts,123,train
29319,/content/product_visual_search/data/raw/images/29319.jpg,Backpacks,2,train
7193,/content/product_visual_search/data/raw/images/7193.jpg,Jeans,51,train
12958,/content/product_visual_search/data/raw/images/12958.jpg,Sports Shoes,103,train
27283,/content/product_visual_search/data/raw/images/27283.jpg,Kurtas,57,val
30234,/content/product_visual_search/data/raw/images/30234.jpg,Flip Flops,36,test
9009,/content/product_visual_search/data/raw/images/9009.jpg,Handbags,44,val
3533,/content/product_visual_search/data/raw/images/3533.jpg,Tshirts,123,train
42614,/content/product_visual_search/data/raw/images/42614.jpg,Jewellery Set,53,val
12164,/content/product_visual_search/data/raw/images/12164.jpg,Dupatta,28,val
26351,/content/product_visual_search/data/raw/images/26351.jpg,Watches,129,train
17624,/content/product_visual_search/data/raw/images/17624.jpg,Track Pants,117,train
47154,/content/product_visual_search/data/raw/images/47154.jpg,Capris,16,val
35574,/content/product_visual_search/data/raw/images/35574.jpg,Flip Flops,36,train
46086,/content/product_visual_search/data/raw/images/46086.jpg,Sports Shoes,103,train
51031,/content/product_visual_search/data/raw/images/51031.jpg,Bra,12,train
13284,/content/product_visual_search/data/raw/images/13284.jpg,Shorts,98,test
54543,/content/product_visual_search/data/raw/images/54543.jpg,Sports Shoes,103,test
55491,/content/product_visual_search/data/raw/images/55491.jpg,Lip Gloss,63,train
26163,/content/product_visual_search/data/raw/images/26163.jpg,Trousers,121,train
3701,/content/product_visual_search/data/raw/images/3701.jpg,Tshirts,123,train
29917,/content/product_visual_search/data/raw/images/29917.jpg,Watches,129,val
42426,/content/product_visual_search/data/raw/images/42426.jpg,Kurtas,57,train
32751,/content/product_visual_search/data/raw/images/32751.jpg,Casual Shoes,18,val
56214,/content/product_visual_search/data/raw/images/56214.jpg,Earrings,29,train
10401,/content/product_visual_search/data/raw/images/10401.jpg,Tops,116,test
40371,/content/product_visual_search/data/raw/images/40371.jpg,Jeans,51,val
21346,/content/product_visual_search/data/raw/images/21346.jpg,Sunglasses,106,val
45603,/content/product_visual_search/data/raw/images/45603.jpg,Formal Shoes,38,train
4524,/content/product_visual_search/data/raw/images/4524.jpg,Sports Shoes,103,test
37223,/content/product_visual_search/data/raw/images/37223.jpg,Tops,116,train
53766,/content/product_visual_search/data/raw/images/53766.jpg,Tshirts,123,test
25520,/content/product_visual_search/data/raw/images/25520.jpg,Tops,116,train
32597,/content/product_visual_search/data/raw/images/32597.jpg,Tops,116,train
58974,/content/product_visual_search/data/raw/images/58974.jpg,Deodorant,25,val
33445,/content/product_visual_search/data/raw/images/33445.jpg,Wallets,128,train
57100,/content/product_visual_search/data/raw/images/57100.jpg,Tops,116,train
36137,/content/product_visual_search/data/raw/images/36137.jpg,Sports Shoes,103,val
41859,/content/product_visual_search/data/raw/images/41859.jpg,Sandals,92,train
21180,/content/product_visual_search/data/raw/images/21180.jpg,Flip Flops,36,train
39943,/content/product_visual_search/data/raw/images/39943.jpg,Casual Shoes,18,test
52472,/content/product_visual_search/data/raw/images/52472.jpg,Bath Robe,5,train
58148,/content/product_visual_search/data/raw/images/58148.jpg,Caps,17,val
20052,/content/product_visual_search/data/raw/images/20052.jpg,Mufflers,75,train
5630,/content/product_visual_search/data/raw/images/5630.jpg,Flip Flops,36,test
44517,/content/product_visual_search/data/raw/images/44517.jpg,Flip Flops,36,train
47392,/content/product_visual_search/data/raw/images/47392.jpg,Handbags,44,train
50325,/content/product_visual_search/data/raw/images/50325.jpg,Kurtas,57,val
8913,/content/product_visual_search/data/raw/images/8913.jpg,Sports Shoes,103,train
16530,/content/product_visual_search/data/raw/images/16530.jpg,Shirts,96,train
22705,/content/product_visual_search/data/raw/images/22705.jpg,Casual Shoes,18,train
7167,/content/product_visual_search/data/raw/images/7167.jpg,Shirts,96,train
46240,/content/product_visual_search/data/raw/images/46240.jpg,Tunics,124,train
27277,/content/product_visual_search/data/raw/images/27277.jpg,Kurtas,57,train
13042,/content/product_visual_search/data/raw/images/13042.jpg,Flats,35,train
6889,/content/product_visual_search/data/raw/images/6889.jpg,Jackets,50,test
31312,/content/product_visual_search/data/raw/images/31312.jpg,Kurtas,57,train
12190,/content/product_visual_search/data/raw/images/12190.jpg,Shirts,96,train
55657,/content/product_visual_search/data/raw/images/55657.jpg,Heels,47,train
19578,/content/product_visual_search/data/raw/images/19578.jpg,Tops,116,train
27879,/content/product_visual_search/data/raw/images/27879.jpg,Tops,116,train
34452,/content/product_visual_search/data/raw/images/34452.jpg,Flats,35,train
6287,/content/product_visual_search/data/raw/images/6287.jpg,Tshirts,123,val
7355,/content/product_visual_search/data/raw/images/7355.jpg,Tshirts,123,train
46072,/content/product_visual_search/data/raw/images/46072.jpg,Belts,7,train
22537,/content/product_visual_search/data/raw/images/22537.jpg,Sandals,92,test
28831,/content/product_visual_search/data/raw/images/28831.jpg,Briefs,14,train
43500,/content/product_visual_search/data/raw/images/43500.jpg,Tshirts,123,val
2627,/content/product_visual_search/data/raw/images/2627.jpg,Flats,35,val
27045,/content/product_visual_search/data/raw/images/27045.jpg,Clutches,21,val
13270,/content/product_visual_search/data/raw/images/13270.jpg,Tops,116,test
18698,/content/product_visual_search/data/raw/images/18698.jpg,Briefs,14,train
55465,/content/product_visual_search/data/raw/images/55465.jpg,Lipstick,66,train
26197,/content/product_visual_search/data/raw/images/26197.jpg,Perfume and Body Mist,84,train
31120,/content/product_visual_search/data/raw/images/31120.jpg,Tops,116,train
25712,/content/product_visual_search/data/raw/images/25712.jpg,Caps,17,train
11527,/content/product_visual_search/data/raw/images/11527.jpg,Tshirts,123,train
14869,/content/product_visual_search/data/raw/images/14869.jpg,Wallets,128,val
40385,/content/product_visual_search/data/raw/images/40385.jpg,Tops,116,train
15187,/content/product_visual_search/data/raw/images/15187.jpg,Tshirts,123,train
5402,/content/product_visual_search/data/raw/images/5402.jpg,Sports Shoes,103,val
44725,/content/product_visual_search/data/raw/images/44725.jpg,Flip Flops,36,val
14055,/content/product_visual_search/data/raw/images/14055.jpg,Shirts,96,train
20260,/content/product_visual_search/data/raw/images/20260.jpg,Tshirts,123,train
7731,/content/product_visual_search/data/raw/images/7731.jpg,Flip Flops,36,train
22153,/content/product_visual_search/data/raw/images/22153.jpg,Sandals,92,train
43958,/content/product_visual_search/data/raw/images/43958.jpg,Sandals,92,test
28469,/content/product_visual_search/data/raw/images/28469.jpg,Tshirts,123,train
50573,/content/product_visual_search/data/raw/images/50573.jpg,Trunk,122,train
34036,/content/product_visual_search/data/raw/images/34036.jpg,Shirts,96,val
55001,/content/product_visual_search/data/raw/images/55001.jpg,Lipstick,66,train
8779,/content/product_visual_search/data/raw/images/8779.jpg,Shirts,96,test
3391,/content/product_visual_search/data/raw/images/3391.jpg,Handbags,44,train
43164,/content/product_visual_search/data/raw/images/43164.jpg,Watches,129,val
2243,/content/product_visual_search/data/raw/images/2243.jpg,Tshirts,123,train
30496,/content/product_visual_search/data/raw/images/30496.jpg,Bra,12,train
27421,/content/product_visual_search/data/raw/images/27421.jpg,Lounge Pants,67,train
57756,/content/product_visual_search/data/raw/images/57756.jpg,Face Wash and Cleanser,34,test
33213,/content/product_visual_search/data/raw/images/33213.jpg,Tops,116,test
39729,/content/product_visual_search/data/raw/images/39729.jpg,Tops,116,test
25376,/content/product_visual_search/data/raw/images/25376.jpg,Innerwear Vests,49,train
11143,/content/product_visual_search/data/raw/images/11143.jpg,Shirts,96,train
56684,/content/product_visual_search/data/raw/images/56684.jpg,Sarees,93,train
4988,/content/product_visual_search/data/raw/images/4988.jpg,Dresses,26,val
44341,/content/product_visual_search/data/raw/images/44341.jpg,Tshirts,123,train
14431,/content/product_visual_search/data/raw/images/14431.jpg,Heels,47,test
20604,/content/product_visual_search/data/raw/images/20604.jpg,Handbags,44,train
52224,/content/product_visual_search/data/raw/images/52224.jpg,Necklace and Chains,78,val
45293,/content/product_visual_search/data/raw/images/45293.jpg,Watches,129,val
36761,/content/product_visual_search/data/raw/images/36761.jpg,Watches,129,train
33021,/content/product_visual_search/data/raw/images/33021.jpg,Kurtas,57,train
25144,/content/product_visual_search/data/raw/images/25144.jpg,Handbags,44,train
11371,/content/product_visual_search/data/raw/images/11371.jpg,Shirts,96,train
41401,/content/product_visual_search/data/raw/images/41401.jpg,Tops,116,train
14603,/content/product_visual_search/data/raw/images/14603.jpg,Socks,101,train
37481,/content/product_visual_search/data/raw/images/37481.jpg,Watches,129,train
5254,/content/product_visual_search/data/raw/images/5254.jpg,Duffel Bag,27,train
44173,/content/product_visual_search/data/raw/images/44173.jpg,Perfume and Body Mist,84,train
25978,/content/product_visual_search/data/raw/images/25978.jpg,Perfume and Body Mist,84,train
4386,/content/product_visual_search/data/raw/images/4386.jpg,Tshirts,123,train
51693,/content/product_visual_search/data/raw/images/51693.jpg,Sunglasses,106,train
16154,/content/product_visual_search/data/raw/images/16154.jpg,Formal Shoes,38,test
22361,/content/product_visual_search/data/raw/images/22361.jpg,Sports Sandals,102,train
29789,/content/product_visual_search/data/raw/images/29789.jpg,Tshirts,123,test
19920,/content/product_visual_search/data/raw/images/19920.jpg,Backpacks,2,train
7503,/content/product_visual_search/data/raw/images/7503.jpg,Tshirts,123,test
46624,/content/product_visual_search/data/raw/images/46624.jpg,Deodorant,25,val
34204,/content/product_visual_search/data/raw/images/34204.jpg,Track Pants,117,test
17086,/content/product_visual_search/data/raw/images/17086.jpg,Wallets,128,train
50741,/content/product_visual_search/data/raw/images/50741.jpg,Casual Shoes,18,train
55233,/content/product_visual_search/data/raw/images/55233.jpg,Foundation and Primer,39,val
13426,/content/product_visual_search/data/raw/images/13426.jpg,Tshirts,123,train
43356,/content/product_visual_search/data/raw/images/43356.jpg,Sports Shoes,103,val
28207,/content/product_visual_search/data/raw/images/28207.jpg,Sunglasses,106,train
13846,/content/product_visual_search/data/raw/images/13846.jpg,Shirts,96,train
12994,/content/product_visual_search/data/raw/images/12994.jpg,Sports Shoes,103,test
46278,/content/product_visual_search/data/raw/images/46278.jpg,Tunics,124,val
16508,/content/product_visual_search/data/raw/images/16508.jpg,Jeans,51,train
18492,/content/product_visual_search/data/raw/images/18492.jpg,Flip Flops,36,test
19540,/content/product_visual_search/data/raw/images/19540.jpg,Sweaters,109,train
7963,/content/product_visual_search/data/raw/images/7963.jpg,Tshirts,123,train
8117,/content/product_visual_search/data/raw/images/8117.jpg,Watches,129,train
49230,/content/product_visual_search/data/raw/images/49230.jpg,Socks,101,train
39147,/content/product_visual_search/data/raw/images/39147.jpg,Kurta Sets,56,train
36933,/content/product_visual_search/data/raw/images/36933.jpg,Perfume and Body Mist,84,train
57138,/content/product_visual_search/data/raw/images/57138.jpg,Trousers,121,train
20856,/content/product_visual_search/data/raw/images/20856.jpg,Casual Shoes,18,train
41861,/content/product_visual_search/data/raw/images/41861.jpg,Sandals,92,train
5608,/content/product_visual_search/data/raw/images/5608.jpg,Sandals,92,train
58170,/content/product_visual_search/data/raw/images/58170.jpg,Clutches,21,test
53598,/content/product_visual_search/data/raw/images/53598.jpg,Free Gifts,41,train
15983,/content/product_visual_search/data/raw/images/15983.jpg,Shirts,96,train
39375,/content/product_visual_search/data/raw/images/39375.jpg,Watches,129,train
14851,/content/product_visual_search/data/raw/images/14851.jpg,Wallets,128,test
59290,/content/product_visual_search/data/raw/images/59290.jpg,Watches,129,train
52678,/content/product_visual_search/data/raw/images/52678.jpg,Watches,129,train
20258,/content/product_visual_search/data/raw/images/20258.jpg,Tshirts,123,test
47198,/content/product_visual_search/data/raw/images/47198.jpg,Sandals,92,train
27841,/content/product_visual_search/data/raw/images/27841.jpg,Belts,7,test
28035,/content/product_visual_search/data/raw/images/28035.jpg,Briefs,14,test
31924,/content/product_visual_search/data/raw/images/31924.jpg,Handbags,44,train
26993,/content/product_visual_search/data/raw/images/26993.jpg,Jeans,51,train
13248,/content/product_visual_search/data/raw/images/13248.jpg,Trousers,121,train
43538,/content/product_visual_search/data/raw/images/43538.jpg,Tops,116,train
8325,/content/product_visual_search/data/raw/images/8325.jpg,Tshirts,123,train
31118,/content/product_visual_search/data/raw/images/31118.jpg,Tops,116,train
19772,/content/product_visual_search/data/raw/images/19772.jpg,Casual Shoes,18,train
46876,/content/product_visual_search/data/raw/images/46876.jpg,Socks,101,train
5862,/content/product_visual_search/data/raw/images/5862.jpg,Tshirts,123,test
39711,/content/product_visual_search/data/raw/images/39711.jpg,Watches,129,val
14409,/content/product_visual_search/data/raw/images/14409.jpg,Heels,47,train
58726,/content/product_visual_search/data/raw/images/58726.jpg,Tshirts,123,val
44379,/content/product_visual_search/data/raw/images/44379.jpg,Perfume and Body Mist,84,train
11947,/content/product_visual_search/data/raw/images/11947.jpg,Sandals,92,train
36759,/content/product_visual_search/data/raw/images/36759.jpg,Watches,129,train
51499,/content/product_visual_search/data/raw/images/51499.jpg,Jeans,51,train
29583,/content/product_visual_search/data/raw/images/29583.jpg,Flats,35,test
