image_path,class_id
data\raw\images\53401.jpg,9
data\raw\images\40604.jpg,9
data\raw\images\59932.jpg,9
data\raw\images\20114.jpg,9
data\raw\images\28692.jpg,9
data\raw\images\39449.jpg,9
data\raw\images\35046.jpg,9
data\raw\images\31696.jpg,9
data\raw\images\30853.jpg,9
data\raw\images\23215.jpg,9
data\raw\images\53389.jpg,9
data\raw\images\30784.jpg,9
data\raw\images\22741.jpg,9
data\raw\images\53422.jpg,9
data\raw\images\27302.jpg,9
data\raw\images\42540.jpg,9
data\raw\images\22032.jpg,9
data\raw\images\12057.jpg,9
data\raw\images\18719.jpg,16
data\raw\images\24941.jpg,16
data\raw\images\33178.jpg,16
data\raw\images\34163.jpg,16
data\raw\images\42565.jpg,16
data\raw\images\21142.jpg,16
data\raw\images\41761.jpg,16
data\raw\images\6950.jpg,16
data\raw\images\54988.jpg,16
data\raw\images\33752.jpg,16
data\raw\images\4894.jpg,16
data\raw\images\19576.jpg,16
data\raw\images\30909.jpg,16
data\raw\images\21427.jpg,16
data\raw\images\18738.jpg,16
data\raw\images\46815.jpg,16
data\raw\images\42236.jpg,16
data\raw\images\31176.jpg,16
data\raw\images\11379.jpg,16
data\raw\images\8476.jpg,16
data\raw\images\6609.jpg,16
data\raw\images\9799.jpg,16
data\raw\images\41973.jpg,16
data\raw\images\26872.jpg,16
data\raw\images\10675.jpg,16
data\raw\images\23623.jpg,16
data\raw\images\5776.jpg,16
data\raw\images\19590.jpg,16
data\raw\images\59898.jpg,16
data\raw\images\32398.jpg,16
data\raw\images\12608.jpg,16
data\raw\images\43639.jpg,16
data\raw\images\7362.jpg,16
data\raw\images\2916.jpg,16
data\raw\images\44690.jpg,16
data\raw\images\46981.jpg,6
data\raw\images\38696.jpg,6
data\raw\images\53676.jpg,6
data\raw\images\21947.jpg,6
data\raw\images\38465.jpg,6
data\raw\images\54388.jpg,6
data\raw\images\21556.jpg,6
data\raw\images\52758.jpg,6
data\raw\images\21942.jpg,6
data\raw\images\14790.jpg,6
data\raw\images\20567.jpg,6
data\raw\images\21995.jpg,6
data\raw\images\37407.jpg,6
data\raw\images\27683.jpg,6
data\raw\images\24789.jpg,6
data\raw\images\37416.jpg,6
data\raw\images\51937.jpg,6
data\raw\images\47133.jpg,6
data\raw\images\25201.jpg,6
data\raw\images\27712.jpg,6
data\raw\images\36523.jpg,6
data\raw\images\25240.jpg,6
data\raw\images\53069.jpg,6
data\raw\images\34766.jpg,6
data\raw\images\20386.jpg,6
data\raw\images\9908.jpg,6
data\raw\images\25274.jpg,6
data\raw\images\38315.jpg,6
data\raw\images\10230.jpg,6
data\raw\images\54545.jpg,6
data\raw\images\21533.jpg,6
data\raw\images\12733.jpg,6
data\raw\images\20490.jpg,6
data\raw\images\37432.jpg,6
data\raw\images\47367.jpg,6
data\raw\images\54183.jpg,6
data\raw\images\44245.jpg,6
data\raw\images\51940.jpg,6
data\raw\images\32837.jpg,7
data\raw\images\13037.jpg,7
data\raw\images\22255.jpg,7
data\raw\images\49618.jpg,7
data\raw\images\37971.jpg,7
data\raw\images\39598.jpg,7
data\raw\images\47459.jpg,7
data\raw\images\27034.jpg,7
data\raw\images\32813.jpg,7
data\raw\images\53867.jpg,7
data\raw\images\22305.jpg,7
data\raw\images\32841.jpg,7
data\raw\images\45336.jpg,7
data\raw\images\50165.jpg,7
data\raw\images\14379.jpg,7
data\raw\images\45347.jpg,7
data\raw\images\13539.jpg,7
data\raw\images\13040.jpg,7
data\raw\images\53146.jpg,7
data\raw\images\20761.jpg,7
data\raw\images\47548.jpg,7
data\raw\images\39620.jpg,7
data\raw\images\41727.jpg,7
data\raw\images\2878.jpg,7
data\raw\images\2610.jpg,7
data\raw\images\19049.jpg,7
data\raw\images\33527.jpg,7
data\raw\images\35783.jpg,7
data\raw\images\56921.jpg,7
data\raw\images\33118.jpg,7
data\raw\images\14351.jpg,7
data\raw\images\17656.jpg,7
data\raw\images\22311.jpg,7
data\raw\images\13028.jpg,7
data\raw\images\39870.jpg,7
data\raw\images\8636.jpg,15
data\raw\images\38311.jpg,15
data\raw\images\28287.jpg,15
data\raw\images\28383.jpg,15
data\raw\images\29880.jpg,15
data\raw\images\38210.jpg,15
data\raw\images\48217.jpg,15
data\raw\images\48193.jpg,15
data\raw\images\58546.jpg,15
data\raw\images\16873.jpg,15
data\raw\images\28351.jpg,15
data\raw\images\28159.jpg,15
data\raw\images\28345.jpg,15
data\raw\images\58541.jpg,15
data\raw\images\8647.jpg,15
data\raw\images\8649.jpg,15
data\raw\images\16942.jpg,15
data\raw\images\29883.jpg,15
data\raw\images\20879.jpg,15
data\raw\images\38213.jpg,15
data\raw\images\29139.jpg,15
data\raw\images\48225.jpg,15
data\raw\images\23764.jpg,15
data\raw\images\8655.jpg,15
data\raw\images\51674.jpg,15
data\raw\images\28307.jpg,15
data\raw\images\51720.jpg,15
data\raw\images\29128.jpg,15
data\raw\images\23711.jpg,15
data\raw\images\23716.jpg,15
data\raw\images\16110.jpg,15
data\raw\images\48199.jpg,15
data\raw\images\38189.jpg,15
data\raw\images\8627.jpg,15
data\raw\images\17326.jpg,15
data\raw\images\48208.jpg,15
data\raw\images\38160.jpg,15
data\raw\images\23756.jpg,15
data\raw\images\21284.jpg,15
data\raw\images\27777.jpg,18
data\raw\images\17082.jpg,18
data\raw\images\20589.jpg,18
data\raw\images\43389.jpg,18
data\raw\images\45277.jpg,18
data\raw\images\17108.jpg,18
data\raw\images\17098.jpg,18
data\raw\images\38134.jpg,18
data\raw\images\27783.jpg,18
data\raw\images\37876.jpg,18
data\raw\images\21822.jpg,18
data\raw\images\36122.jpg,18
data\raw\images\47426.jpg,18
data\raw\images\51898.jpg,18
data\raw\images\21816.jpg,18
data\raw\images\52779.jpg,18
data\raw\images\8932.jpg,18
data\raw\images\14854.jpg,18
data\raw\images\44601.jpg,18
data\raw\images\47405.jpg,18
data\raw\images\20588.jpg,18
data\raw\images\25085.jpg,18
data\raw\images\38678.jpg,18
data\raw\images\17079.jpg,18
data\raw\images\14867.jpg,18
data\raw\images\50817.jpg,18
data\raw\images\23686.jpg,18
data\raw\images\45281.jpg,18
data\raw\images\42967.jpg,18
data\raw\images\47407.jpg,18
data\raw\images\18594.jpg,18
data\raw\images\41259.jpg,18
data\raw\images\38366.jpg,18
data\raw\images\40220.jpg,18
data\raw\images\51900.jpg,18
data\raw\images\47415.jpg,18
data\raw\images\20432.jpg,18
data\raw\images\27775.jpg,18
data\raw\images\32187.jpg,4
data\raw\images\6421.jpg,4
data\raw\images\26678.jpg,4
data\raw\images\30234.jpg,4
data\raw\images\39955.jpg,4
data\raw\images\44201.jpg,4
data\raw\images\40753.jpg,4
data\raw\images\13686.jpg,4
data\raw\images\11853.jpg,4
data\raw\images\6444.jpg,4
data\raw\images\35573.jpg,4
data\raw\images\15384.jpg,4
data\raw\images\9138.jpg,4
data\raw\images\19124.jpg,4
data\raw\images\6163.jpg,4
data\raw\images\44616.jpg,4
data\raw\images\24472.jpg,4
data\raw\images\6167.jpg,4
data\raw\images\58339.jpg,4
data\raw\images\44723.jpg,4
data\raw\images\2551.jpg,4
data\raw\images\23850.jpg,4
data\raw\images\40290.jpg,4
data\raw\images\24117.jpg,4
data\raw\images\44715.jpg,4
data\raw\images\10761.jpg,4
data\raw\images\36134.jpg,4
data\raw\images\34513.jpg,4
data\raw\images\21178.jpg,4
data\raw\images\40754.jpg,4
data\raw\images\53881.jpg,4
data\raw\images\53632.jpg,4
data\raw\images\2802.jpg,11
data\raw\images\7328.jpg,11
data\raw\images\26706.jpg,11
data\raw\images\33663.jpg,11
data\raw\images\2820.jpg,11
data\raw\images\19137.jpg,11
data\raw\images\16111.jpg,11
data\raw\images\16112.jpg,11
data\raw\images\2235.jpg,11
data\raw\images\36421.jpg,11
data\raw\images\39961.jpg,11
data\raw\images\9018.jpg,11
data\raw\images\9717.jpg,11
data\raw\images\15457.jpg,11
data\raw\images\59324.jpg,11
data\raw\images\35649.jpg,11
data\raw\images\3805.jpg,11
data\raw\images\47233.jpg,11
data\raw\images\28325.jpg,11
data\raw\images\11937.jpg,11
data\raw\images\7253.jpg,11
data\raw\images\12865.jpg,11
data\raw\images\7378.jpg,11
data\raw\images\16116.jpg,11
data\raw\images\19133.jpg,11
data\raw\images\44511.jpg,11
data\raw\images\11916.jpg,11
data\raw\images\22171.jpg,11
data\raw\images\15858.jpg,11
data\raw\images\42010.jpg,11
data\raw\images\50755.jpg,11
data\raw\images\12961.jpg,11
data\raw\images\19139.jpg,11
data\raw\images\50439.jpg,2
data\raw\images\32138.jpg,2
data\raw\images\20079.jpg,2
data\raw\images\18366.jpg,2
data\raw\images\57023.jpg,2
data\raw\images\28086.jpg,2
data\raw\images\57389.jpg,2
data\raw\images\47261.jpg,2
data\raw\images\54320.jpg,2
data\raw\images\45648.jpg,2
data\raw\images\54326.jpg,2
data\raw\images\50626.jpg,2
data\raw\images\28021.jpg,2
data\raw\images\50484.jpg,2
data\raw\images\28134.jpg,2
data\raw\images\18385.jpg,2
data\raw\images\45652.jpg,2
data\raw\images\50455.jpg,2
data\raw\images\28784.jpg,2
data\raw\images\28056.jpg,2
data\raw\images\28030.jpg,2
data\raw\images\50916.jpg,2
data\raw\images\28039.jpg,2
data\raw\images\28827.jpg,2
data\raw\images\54187.jpg,2
data\raw\images\28886.jpg,2
data\raw\images\59709.jpg,2
data\raw\images\50606.jpg,2
data\raw\images\28047.jpg,2
data\raw\images\50614.jpg,2
data\raw\images\47274.jpg,2
data\raw\images\56304.jpg,2
data\raw\images\27996.jpg,2
data\raw\images\15798.jpg,2
data\raw\images\18683.jpg,2
data\raw\images\25388.jpg,2
data\raw\images\28020.jpg,2
data\raw\images\56291.jpg,2
data\raw\images\28831.jpg,2
data\raw\images\50584.jpg,2
data\raw\images\50619.jpg,2
data\raw\images\57369.jpg,2
data\raw\images\25014.jpg,1
data\raw\images\42903.jpg,1
data\raw\images\24504.jpg,1
data\raw\images\8920.jpg,1
data\raw\images\20990.jpg,1
data\raw\images\27808.jpg,1
data\raw\images\36643.jpg,1
data\raw\images\17067.jpg,1
data\raw\images\24679.jpg,1
data\raw\images\36890.jpg,1
data\raw\images\51768.jpg,1
data\raw\images\18802.jpg,1
data\raw\images\29078.jpg,1
data\raw\images\38417.jpg,1
data\raw\images\17068.jpg,1
data\raw\images\42939.jpg,1
data\raw\images\33470.jpg,1
data\raw\images\14978.jpg,1
data\raw\images\14836.jpg,1
data\raw\images\21411.jpg,1
data\raw\images\21440.jpg,1
data\raw\images\46307.jpg,1
data\raw\images\45315.jpg,1
data\raw\images\7624.jpg,1
data\raw\images\50217.jpg,1
data\raw\images\14822.jpg,1
data\raw\images\33465.jpg,1
data\raw\images\38489.jpg,1
data\raw\images\17064.jpg,1
data\raw\images\20978.jpg,1
data\raw\images\17066.jpg,1
data\raw\images\50223.jpg,1
data\raw\images\50834.jpg,1
data\raw\images\21754.jpg,1
data\raw\images\34800.jpg,1
data\raw\images\41255.jpg,1
data\raw\images\35196.jpg,0
data\raw\images\4688.jpg,0
data\raw\images\5303.jpg,0
data\raw\images\15920.jpg,0
data\raw\images\37685.jpg,0
data\raw\images\9910.jpg,0
data\raw\images\37263.jpg,0
data\raw\images\18438.jpg,0
data\raw\images\7091.jpg,0
data\raw\images\38139.jpg,0
data\raw\images\38759.jpg,0
data\raw\images\38758.jpg,0
data\raw\images\24328.jpg,0
data\raw\images\9527.jpg,0
data\raw\images\19909.jpg,0
data\raw\images\37700.jpg,0
data\raw\images\1927.jpg,0
data\raw\images\39508.jpg,0
data\raw\images\9440.jpg,0
data\raw\images\34466.jpg,0
data\raw\images\14892.jpg,0
data\raw\images\1793.jpg,0
data\raw\images\29065.jpg,0
data\raw\images\29074.jpg,0
data\raw\images\35183.jpg,0
data\raw\images\6520.jpg,0
data\raw\images\25224.jpg,0
data\raw\images\35206.jpg,0
data\raw\images\4671.jpg,0
data\raw\images\35198.jpg,0
data\raw\images\2263.jpg,0
data\raw\images\29006.jpg,0
data\raw\images\8217.jpg,0
data\raw\images\36049.jpg,0
data\raw\images\9487.jpg,0
data\raw\images\32032.jpg,13
data\raw\images\31992.jpg,13
data\raw\images\36332.jpg,13
data\raw\images\32471.jpg,13
data\raw\images\29112.jpg,13
data\raw\images\21575.jpg,13
data\raw\images\31991.jpg,13
data\raw\images\8507.jpg,13
data\raw\images\19500.jpg,13
data\raw\images\7676.jpg,13
data\raw\images\17394.jpg,13
data\raw\images\9364.jpg,13
data\raw\images\51181.jpg,13
data\raw\images\46864.jpg,13
data\raw\images\32041.jpg,13
data\raw\images\7662.jpg,13
data\raw\images\37886.jpg,13
data\raw\images\36388.jpg,13
data\raw\images\35246.jpg,13
data\raw\images\32036.jpg,13
data\raw\images\32026.jpg,13
data\raw\images\35239.jpg,13
data\raw\images\30549.jpg,13
data\raw\images\15547.jpg,13
data\raw\images\9350.jpg,13
data\raw\images\35247.jpg,13
data\raw\images\51152.jpg,13
data\raw\images\18586.jpg,13
data\raw\images\18218.jpg,13
data\raw\images\49289.jpg,13
data\raw\images\30543.jpg,13
data\raw\images\30548.jpg,13
data\raw\images\17305.jpg,13
data\raw\images\36386.jpg,13
data\raw\images\7671.jpg,13
data\raw\images\7654.jpg,13
data\raw\images\58297.jpg,13
data\raw\images\7680.jpg,13
data\raw\images\38157.jpg,13
data\raw\images\17392.jpg,13
data\raw\images\49305.jpg,13
data\raw\images\2834.jpg,5
data\raw\images\11872.jpg,5
data\raw\images\55621.jpg,5
data\raw\images\5317.jpg,5
data\raw\images\11871.jpg,5
data\raw\images\9700.jpg,5
data\raw\images\15052.jpg,5
data\raw\images\24685.jpg,5
data\raw\images\7230.jpg,5
data\raw\images\7402.jpg,5
data\raw\images\47194.jpg,5
data\raw\images\22229.jpg,5
data\raw\images\45610.jpg,5
data\raw\images\2638.jpg,5
data\raw\images\45574.jpg,5
data\raw\images\11892.jpg,5
data\raw\images\10143.jpg,5
data\raw\images\35229.jpg,5
data\raw\images\45587.jpg,5
data\raw\images\33351.jpg,5
data\raw\images\22140.jpg,5
data\raw\images\35484.jpg,5
data\raw\images\12862.jpg,5
data\raw\images\7866.jpg,5
data\raw\images\33349.jpg,5
data\raw\images\18874.jpg,5
data\raw\images\12483.jpg,5
data\raw\images\2826.jpg,5
data\raw\images\2637.jpg,5
data\raw\images\57515.jpg,5
data\raw\images\9696.jpg,5
data\raw\images\33701.jpg,5
data\raw\images\9715.jpg,5
data\raw\images\33693.jpg,5
data\raw\images\55624.jpg,5
data\raw\images\7254.jpg,5
data\raw\images\35233.jpg,5
data\raw\images\45595.jpg,5
data\raw\images\12473.jpg,5
data\raw\images\11882.jpg,5
data\raw\images\45596.jpg,5
data\raw\images\44126.jpg,10
data\raw\images\26009.jpg,10
data\raw\images\26847.jpg,10
data\raw\images\44179.jpg,10
data\raw\images\58972.jpg,10
data\raw\images\27345.jpg,10
data\raw\images\37906.jpg,10
data\raw\images\32542.jpg,10
data\raw\images\44012.jpg,10
data\raw\images\32544.jpg,10
data\raw\images\46944.jpg,10
data\raw\images\26848.jpg,10
data\raw\images\25981.jpg,10
data\raw\images\37902.jpg,10
data\raw\images\46674.jpg,10
data\raw\images\46783.jpg,10
data\raw\images\56376.jpg,10
data\raw\images\25975.jpg,10
data\raw\images\44115.jpg,10
data\raw\images\26014.jpg,10
data\raw\images\55339.jpg,10
data\raw\images\43967.jpg,10
data\raw\images\44142.jpg,10
data\raw\images\46700.jpg,10
data\raw\images\43135.jpg,10
data\raw\images\56386.jpg,10
data\raw\images\45673.jpg,10
data\raw\images\46676.jpg,10
data\raw\images\43131.jpg,10
data\raw\images\44038.jpg,10
data\raw\images\56360.jpg,10
data\raw\images\46691.jpg,10
data\raw\images\58963.jpg,10
data\raw\images\14117.jpg,8
data\raw\images\57071.jpg,8
data\raw\images\22787.jpg,8
data\raw\images\27024.jpg,8
data\raw\images\12751.jpg,8
data\raw\images\11354.jpg,8
data\raw\images\33283.jpg,8
data\raw\images\51497.jpg,8
data\raw\images\23455.jpg,8
data\raw\images\24199.jpg,8
data\raw\images\28795.jpg,8
data\raw\images\9177.jpg,8
data\raw\images\51596.jpg,8
data\raw\images\26992.jpg,8
data\raw\images\11349.jpg,8
data\raw\images\16506.jpg,8
data\raw\images\9145.jpg,8
data\raw\images\10485.jpg,8
data\raw\images\38996.jpg,8
data\raw\images\12044.jpg,8
data\raw\images\31668.jpg,8
data\raw\images\11291.jpg,8
data\raw\images\7190.jpg,8
data\raw\images\50950.jpg,8
data\raw\images\13349.jpg,8
data\raw\images\11328.jpg,8
data\raw\images\16511.jpg,8
data\raw\images\14128.jpg,8
data\raw\images\31352.jpg,8
data\raw\images\30411.jpg,8
data\raw\images\56828.jpg,8
data\raw\images\9143.jpg,8
data\raw\images\11290.jpg,8
data\raw\images\52557.jpg,8
